,Unnamed: 0,Unnamed: 0.1,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,0,0,7129300520,01/01/1970,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650
1,1,1,6414100192,01/01/1970,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721000000000004,-122.319,1690,7639
2,2,2,5631500400,01/01/1970,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.23299999999999,2720,8062
3,3,3,2487200875,01/01/1970,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.39299999999999,1360,5000
4,4,4,1954400510,01/01/1970,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503
5,5,5,7237550310,01/01/1970,1230000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930
6,6,6,1321400060,01/01/1970,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.32700000000001,2238,6819
7,7,7,2008000270,01/01/1970,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711
8,8,8,2414600126,01/01/1970,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113
9,9,9,3793500160,01/01/1970,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570
10,10,10,1736800520,01/01/1970,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925
11,11,11,9212900260,01/01/1970,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000
12,12,12,114101516,01/01/1970,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697
13,13,13,6054650070,01/01/1970,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208
14,14,14,1175000570,01/01/1970,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.39399999999999,1360,4850
15,15,15,9297300055,01/01/1970,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000
16,16,16,1875500060,01/01/1970,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018
17,17,17,6865200140,01/01/1970,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.34299999999999,1610,4300
18,18,18,16000397,01/01/1970,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095
19,19,19,7983200060,01/01/1970,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850
20,20,20,6300500875,01/01/1970,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.34100000000001,1400,4980
21,21,21,2524049179,01/01/1970,2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.23299999999999,4110,20336
22,22,22,7137970340,01/01/1970,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005
23,23,23,8091400200,01/01/1970,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386
24,24,24,3814700200,01/01/1970,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.17200000000001,2200,6865
25,25,25,1202000200,01/01/1970,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.21799999999999,1030,4705
26,26,26,1794500383,01/01/1970,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573
27,27,27,3303700376,01/01/1970,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861
28,28,28,5101402488,01/01/1970,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235
29,29,29,1873100390,01/01/1970,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026
30,30,30,8562750320,01/01/1970,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980
31,31,31,2426039314,01/01/1970,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.35700000000001,1390,1756
32,32,32,461000390,01/01/1970,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000
33,33,33,7589200193,01/01/1970,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080
34,34,34,7955080270,01/01/1970,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.15700000000001,2020,8720
35,35,35,9547205180,01/01/1970,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264
36,36,36,9435300030,01/01/1970,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467
37,37,37,2768000400,01/01/1970,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.36200000000001,1730,4700
38,38,38,7895500070,01/01/1970,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0,98001,47.3341,-122.28200000000001,1290,7800
39,39,39,2078500320,01/01/1970,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884
40,40,40,5547700270,01/01/1970,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669
41,41,41,7766200013,01/01/1970,775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.34700000000001,2410,30617
42,42,42,7203220400,01/01/1970,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639
43,43,43,9270200160,01/01/1970,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.36399999999999,1580,2640
44,44,44,1432701230,01/01/1970,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808
45,45,45,8035350320,01/01/1970,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232
46,46,46,8945200830,01/01/1970,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,98023,47.3066,-122.37100000000001,1228,8840
47,47,47,4178300310,01/01/1970,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.15100000000001,2680,13685
48,48,48,9215400105,01/01/1970,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100
49,49,49,822039084,01/01/1970,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.45100000000001,2680,72513
50,50,50,5245600105,01/01/1970,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364
51,51,51,7231300125,01/01/1970,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133
52,52,52,7518505990,01/01/1970,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080
53,53,53,3626039271,01/01/1970,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738
54,54,54,4217401195,01/01/1970,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000
55,55,55,9822700295,01/01/1970,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000
56,56,56,9478500640,01/01/1970,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.11399999999999,2250,4500
57,57,57,2799800710,01/01/1970,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.12200000000001,2690,4750
58,58,58,7922800400,01/01/1970,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044
